qe_ingaas_m25,qe_ingaas_m25_wl,qe_ingaas_m90,qe_ingaas_m90_wl,qe_ingaas_p25,qe_ingaas_p25_wl
0.81463385,1179.7185,0.75365835,1179.7185,0.85487771,1186.4791
,1181.4087,0.75121933,1181.4087,0.85487771,1188.1692
,1183.0988,0.75121933,1183.0988,0.85487771,1189.8594
,1184.7889,0.75121933,1184.7889,0.85487771,1191.5496
,1186.4791,0.7524389,1186.4791,0.85487771,1193.2397
0.80853629,1188.1692,0.7524389,1188.1692,0.85487771,1194.9298
0.80975586,1189.8594,0.75365835,1189.8594,0.85487771,1196.62
0.80731684,1191.5496,0.75365835,1191.5496,0.85487771,1198.3102
0.80731684,1193.2397,0.75365835,1193.2397,0.85487771,1200.0001
0.80731684,1194.9298,0.75365835,1194.9298,0.85487771,1201.6903
0.80731684,1196.62,,1196.62,0.85487771,1203.3805
0.80731684,1198.3102,,1198.3102,0.85487771,1205.0706
0.80731684,1200.0001,0.7585364,1200.0001,0.85487771,1206.7607
0.80731684,1201.6903,0.75853646,1201.6903,0.85487771,1208.4509
0.80731684,1203.3805,0.75975591,1203.3805,0.85487771,1210.1411
,1205.0706,0.75975591,1205.0706,0.85487771,1211.8312
,1206.7607,0.76097542,1206.7607,0.85487771,1213.5214
0.81219482,1208.4509,0.76097542,1208.4509,0.85487771,1215.2115
0.81219482,1210.1411,,1210.1411,0.85487771,1216.9016
0.81219482,1211.8312,,1211.8312,0.85487771,1218.5918
0.81463385,1213.5214,0.76097542,1213.5214,0.85487771,1220.282
0.81463385,1215.2115,0.76097542,1215.2115,0.85487771,1221.972
0.81341439,1216.9016,0.76097542,1216.9016,0.85487771,1223.6621
0.81341439,1218.5918,0.76097542,1218.5918,0.8536582,1225.3523
0.81219482,1220.282,0.76097542,1220.282,0.85243869,1227.0425
0.81097531,1221.972,0.76097542,1221.972,0.85121918,1228.7325
0.81097531,1223.6621,,1223.6621,0.84999967,1230.4227
0.80853629,1225.3523,,1225.3523,0.84878016,1232.1129
0.80975586,1227.0425,,1227.0425,0.84878016,1233.803
0.80853629,1228.7325,,1228.7325,0.84999967,1235.4932
0.80731684,1230.4227,,1230.4227,0.85121918,1237.1833
0.80487776,1232.1129,,1232.1129,0.85121918,1238.8735
0.80731684,1233.803,0.76097542,1233.803,0.85243869,1240.5636
0.80487776,1235.4932,0.76097542,1235.4932,0.8536582,1242.2537
0.80487776,1237.1833,0.76097542,1237.1833,0.8536582,1243.9438
0.80609733,1238.8735,0.76097542,1238.8735,0.85487771,1245.6339
0.80975586,1240.5636,0.76097542,1240.5636,0.85487771,1247.3241
0.81097531,1242.2537,,1242.2537,0.85487771,1249.0143
,1243.9438,,1243.9438,0.85487771,1250.7045
,1245.6339,,1245.6339,0.85487771,1252.3945
,1247.3241,0.76097542,1247.3241,0.85487771,1254.0847
,1249.0143,0.76097542,1249.0143,0.85487771,1255.7749
0.81585336,1250.7045,0.76097542,1250.7045,0.85487771,1257.465
0.81463385,1252.3945,0.76097542,1252.3945,0.8536582,1259.1552
0.81463385,1254.0847,0.76097542,1254.0847,0.85243869,1260.8453
0.81463385,1255.7749,,1255.7749,0.85121918,1262.5354
0.81463385,1257.465,,1257.465,0.85121918,1264.2255
0.81463385,1259.1552,0.76097542,1259.1552,0.84999967,1265.9156
0.81463385,1260.8453,0.76097542,1260.8453,0.84878016,1267.6058
0.81463385,1262.5354,0.76097542,1262.5354,0.84878016,1269.2959
0.81463385,1264.2255,0.76097542,1264.2255,0.84878016,1270.9861
0.81463385,1265.9156,0.76097542,1265.9156,0.84878016,1272.6763
0.81463385,1267.6058,0.76097542,1267.6058,0.84999967,1274.3663
0.81463385,1269.2959,0.76097542,1269.2959,0.84999967,1276.0565
,1270.9861,0.76097542,1270.9861,0.85121918,1277.7467
,1272.6763,,1272.6763,0.85243869,1279.4368
,1274.3663,,1274.3663,0.85243869,1281.127
,1276.0565,,1276.0565,0.8536582,1282.8171
,1277.7467,,1277.7467,0.8536582,1284.5073
,1279.4368,0.76097542,1279.4368,0.85487771,1286.1973
0.81463385,1281.127,0.76097542,1281.127,0.85609716,1287.8875
0.81463385,1282.8171,0.76097542,1282.8171,0.85609716,1289.5776
0.81463385,1284.5073,0.76097542,1284.5073,0.85731673,1291.2677
0.81463385,1286.1973,0.76097542,1286.1973,0.85731673,1292.9579
0.81463385,1287.8875,0.76097542,1287.8875,0.85731673,1294.6481
0.81463385,1289.5776,,1289.5776,0.85731673,1296.3383
,1291.2677,,1291.2677,0.85853624,1298.0283
,1292.9579,,1292.9579,0.85731673,1299.7185
,1294.6481,0.76097542,1294.6481,0.85731673,1301.4087
0.81463385,1296.3383,0.76097542,1296.3383,0.85731673,1303.0988
0.81463385,1298.0283,0.76097542,1298.0283,0.85731673,1304.7889
0.81707293,1299.7185,0.76097542,1299.7185,0.85731673,1306.4791
0.81585342,1301.4087,0.76097542,1301.4087,0.85731673,1308.1691
0.81707293,1303.0988,0.76097542,1303.0988,0.85731673,1309.8593
0.81707293,1304.7889,,1304.7889,0.85731673,1311.5494
0.81707293,1306.4791,0.76097542,1306.4791,0.85731673,1313.2396
0.81707293,1308.1691,0.76097542,1308.1691,0.85731673,1314.9297
0.81463385,1309.8593,0.76097542,1309.8593,0.85731673,1316.6199
0.81585342,1311.5494,0.76097542,1311.5494,0.85853624,1318.3101
0.81463385,1313.2396,0.76097542,1313.2396,0.85731673,1320.0001
0.81463385,1314.9297,0.76097542,1314.9297,0.85731673,1321.6903
0.81463385,1316.6199,,1316.6199,0.85731673,1323.3805
0.81463385,1318.3101,,1318.3101,0.85731673,1325.0707
0.81463385,1320.0001,,1320.0001,0.85731673,1326.7607
0.81463385,1321.6903,0.76097542,1321.6903,0.85731673,1328.4509
,1323.3805,0.76097542,1323.3805,0.85731673,1330.141
