chroma760em_wl,chroma760em
1233.18,0.53255
1233.4,0.511964
1233.64,0.489293
1234.24,0.465413
1234.54,0.442356
1234.7,0.428357
1235.49,0.414043
1236.21,0.389654
1237.11,0.366598
1238.47,0.345188
1239.68,0.322131
1241.04,0.306485
1242.85,0.29331
1245.27,0.280958
1247.84,0.273547
1249.78,0.269229
1251.78,0.269229
1253.12,0.271946
1254.94,0.275193
1257.21,0.286722
1259.47,0.301544
1261.44,0.315543
1262.95,0.332012
1264.46,0.352599
1266.12,0.369891
1267.48,0.388008
1268.99,0.410241
1270.35,0.431651
1271.11,0.444826
1272.46,0.455531
1273.98,0.455531
1275.34,0.44565
1275.94,0.434945
1276.7,0.423416
1277.15,0.410241
1277.75,0.394595
1278.21,0.376479
1278.66,0.36248
1279.26,0.337776
1280.02,0.312249
1280.62,0.29331
1281.23,0.273547
1281.83,0.251313
1282.41,0.233902
1283.22,0.210804
1283.89,0.190423
1284.56,0.174119
1285.22,0.159173
1285.89,0.144907
1286.43,0.131999
1287.23,0.119771
1288.03,0.105504
1289.1,0.0905583
1289.91,0.0796886
1291.24,0.0640635
1292.58,0.0538731
1294.45,0.0409654
1296.33,0.0321338
1298.48,0.0249697
1301.39,0.0186702
1304.17,0.0123708
1306.57,0.00922102
1310.49,0.00528385
1316.57,0.00213412
1322.76,0.00213412
1328.33,0.000559251
1332.5,0.000559251
1338.2,0.000559251
1345.78,0.000559251
1353.27,0.000281333
1361.34,0.000556677
1369.49,0.000556677
1391.25,0.000281333
