grating1250,grating1250_wl
0.85677308,1307.5082
0.85807508,1313.4371
0.85547096,1319.3658
0.85156471,1325.2947
0.84765846,1331.2236
0.84245008,1337.1525
0.83854383,1343.0813
0.83333552,1349.0101
0.83073133,1354.939
0.82812715,1360.8678
0.82552302,1366.7968
0.8242209,1372.7256
0.82161677,1378.6544
0.82161677,1384.5833
0.81901258,1390.5121
0.81901258,1396.441
0.81771052,1402.3699
0.8164084,1408.2986
0.8164084,1414.2275
0.8164084,1420.1564
0.81380427,1426.0852
0.81510633,1432.0142
0.81380427,1437.9429
0.81380427,1443.8717
0.81380427,1449.8007
0.81120002,1455.7295
0.81120002,1461.6583
0.80989802,1467.5872
0.8085959,1473.516
0.80729377,1479.4448
0.80599177,1485.3738
0.80468965,1491.3026
0.80208552,1497.2313
0.8007834,1503.1603
0.79817927,1509.0891
0.79687715,1515.0179
0.79427302,1520.9468
0.79036665,1526.8756
0.78776252,1532.8044
0.7851584,1538.7334
0.78255415,1544.6622
0.78125215,1550.5909
0.7786479,1556.5199
0.77604377,1562.4487
0.77474165,1568.3776
0.77213752,1574.3065
0.76953334,1580.2352
0.76692915,1586.1641
0.76432502,1592.093
0.76172084,1598.0219
0.76041877,1603.9507
0.75781459,1609.8795
0.7552104,1615.8083
0.75260627,1621.7372
0.75000209,1627.6661
0.7473979,1633.595
0.74479371,1639.5238
0.74218959,1645.4526
0.7395854,1651.3815
0.73698121,1657.3104
0.73177284,1663.2393
0.72916871,1669.168
0.72396034,1675.0969
0.72005409,1681.0258
0.71614784,1686.9546
0.71224159,1692.8835
0.70833534,1698.8123
0.70312697,1704.7411
0.69661659,1710.67
0.69401246,1716.5989
0.68750197,1722.5277
0.68229365,1728.4565
0.67968947,1734.3854
0.67448115,1740.3142
0.67187697,1746.2432
0.66666865,1752.172
0.66406447,1758.1007
0.66015822,1764.0297
0.65755403,1769.9585
0.65364778,1775.8873
0.64974153,1781.8163
0.64583528,1787.745
0.64192903,1793.6738
0.63802278,1799.6028
0.63541859,1805.5316
0.63021028,1811.4604
0.62630397,1817.3893
0.62109566,1823.3181
0.61588728,1829.2469
0.61328316,1835.1759
0.60677272,1841.1047
0.60156435,1847.0334
0.5976581,1852.9624
0.59375185,1858.8912
0.58593935,1864.8201
0.58073103,1870.749
0.5742206,1876.6777
0.56771016,1882.6066
0.55989766,1888.5355
0.55468935,1894.4644
0.54817891,1900.3932
0.54166847,1906.322
0.52994972,1912.2509
0.5208351,1918.1798
0.5130226,1924.1086
0.50390798,1930.0375
0.49479339,1935.9663
0.48698089,1941.8951
0.48177257,1947.824
0.47396004,1953.7529
0.46744961,1959.6818
0.46354336,1965.6105
0.45963711,1971.5394
0.45703292,1977.4683
0.45312667,1983.3971
0.45182461,1989.326
0.45052254,1995.2548
0.44791836,2001.1837
0.44531417,2007.1125
0.44401211,2013.0413
0.44271001,2018.9702
0.44140792,2024.899
0.43880376,2030.828
0.43489751,2036.7567
0.43229333,2042.6855
0.42968917,2048.6145
0.42708501,2054.5432
0.42317876,2060.4722
0.41927245,2066.4011
0.4153662,2072.3298
0.41145995,2078.2588
0.40625164,2084.1875
0.40234539,2090.1165
0.39583495,2096.0452
0.3919287,2101.9741
0.3854183,2107.9031
0.37890786,2113.8318
0.37239742,2119.7607
0.36718905,2125.6895
0.36067867,2131.6182
0.3554703,2137.5474
0.35026199,2143.4761
0.34505364,2149.405
0.34244946,2155.3337
0.33724114,2161.2625
0.33463696,2167.1914
0.32942858,2173.1204
0.32552233,2179.0493
0.32291821,2184.978
0.31901193,2190.9067
0.31510568,2196.8357
0.31250152,2202.7644
0.30729318,2208.6936
0.30468902,2214.6223
0.30078274,2220.551
0.29687649,2226.48
0.29427233,2232.4087
0.29036605,2238.3376
0.2864598,2244.2666
0.28125146,2250.1953
0.27734521,2256.1243
0.27213687,2262.053
0.26823062,2267.9819
0.26432437,2273.9106
0.25911602,2279.8396
0.25520977,2285.7686
0.25000143,2291.6973
0.24479309,2297.6262
0.24088684,2303.5549
0.23567849,2309.4839
0.23047017,2315.4128
0.22526182,2321.3416
0.22005348,2327.2705
0.21614721,2333.1992
0.21093887,2339.1279
0.20703262,2345.0571
0.20312637,2350.9858
0.19922012,2356.9148
0.19661595,2362.8435
0.1927097,2368.7722
0.18750136,2374.7012
0.18359511,2380.6301
0.18099092,2386.5591
0.17708467,2392.4878
0.1744805,2398.4165
0.1731784,2404.3455
